date,open,high,low,close,volume
2020-01-09 13:30:00,77.35,77.46,77.26,77.27,60804
2020-01-09 14:00:00,77.27,77.37,77.18,77.23,48525
2020-01-09 14:30:00,77.24,77.37,77.19,77.26,45234
2020-01-09 15:00:00,77.25,77.27,77.06,77.26,62788
2020-01-09 15:30:00,77.26,77.43,77.14,77.43,115593
2020-01-09 16:00:00,77.42,77.45,77.36,77.44,91129
2020-01-09 16:30:00,77.44,77.45,77.41,77.44,932
2020-01-09 17:00:00,77.42,77.45,77.41,77.42,978
2020-01-09 17:30:00,77.41,77.45,77.41,77.45,403
2020-01-09 18:00:00,77.45,77.6,77.45,77.57,1406
2020-01-09 18:30:00,77.58,77.6,77.54,77.59,467
2020-01-09 19:00:00,77.59,77.59,77.56,77.58,349
2020-01-09 19:30:00,77.58,77.6,77.56,77.6,1687
2020-01-10 04:00:00,77.81,77.95,77.81,77.94,260
2020-01-10 04:30:00,77.91,77.98,77.91,77.97,134
2020-01-10 05:00:00,77.98,77.99,77.92,77.98,250
2020-01-10 05:30:00,77.95,77.97,77.95,77.96,54
2020-01-10 06:00:00,77.94,77.96,77.88,77.96,238
2020-01-10 06:30:00,77.91,77.91,77.87,77.89,307
2020-01-10 07:00:00,77.92,78.01,77.78,77.95,3682
2020-01-10 07:30:00,77.98,78.09,77.95,78.05,2326
2020-01-10 08:00:00,78.05,78.08,77.81,77.88,6830
2020-01-10 08:30:00,77.88,77.94,77.5,77.69,9353
2020-01-10 09:00:00,77.7,77.75,77.61,77.64,4028
2020-01-10 09:30:00,77.64,78.05,77.42,78.02,218930
2020-01-10 10:00:00,78.02,78.17,77.92,78.09,132256
2020-01-10 10:30:00,78.1,78.14,77.94,78.01,68191
2020-01-10 11:00:00,78.01,78.08,77.71,77.74,76462
2020-01-10 11:30:00,77.74,77.9,77.61,77.77,77869
2020-01-10 12:00:00,77.78,77.78,77.06,77.49,131881
2020-01-10 12:30:00,77.49,77.59,77.42,77.44,59760
2020-01-10 13:00:00,77.44,77.74,77.42,77.66,47961
2020-01-10 13:30:00,77.67,77.7,77.52,77.68,36565
2020-01-10 14:00:00,77.67,77.74,77.46,77.49,42741
2020-01-10 14:30:00,77.48,77.55,77.32,77.52,63934
2020-01-10 15:00:00,77.52,77.58,77.31,77.54,66535
2020-01-10 15:30:00,77.54,77.61,77.32,77.59,108188
2020-01-10 16:00:00,77.58,77.64,77.55,77.59,57339
2020-01-10 16:30:00,77.6,77.64,77.58,77.6,2337
2020-01-10 17:00:00,77.6,77.62,77.6,77.62,404
2020-01-10 17:30:00,77.6,77.67,77.6,77.66,250
2020-01-10 18:00:00,77.67,77.68,77.63,77.64,164
2020-01-10 18:30:00,77.64,77.65,77.63,77.63,750
2020-01-10 19:00:00,77.63,77.67,77.63,77.67,413
2020-01-10 19:30:00,77.67,77.71,77.65,77.67,815
2020-01-13 04:00:00,77.88,77.98,77.88,77.94,220
2020-01-13 04:30:00,77.9,77.99,77.9,77.98,329
2020-01-13 05:00:00,77.98,77.98,77.92,77.92,195
2020-01-13 05:30:00,77.92,78.0,77.91,78.0,314
2020-01-13 06:00:00,77.99,78.0,77.91,77.95,127
2020-01-13 06:30:00,77.95,78.13,77.91,77.92,868
2020-01-13 07:00:00,77.92,78.04,77.88,77.89,1604
2020-01-13 07:30:00,77.92,77.97,77.84,77.89,1303
2020-01-13 08:00:00,77.99,78.05,77.85,77.94,3652
2020-01-13 08:30:00,77.96,77.96,77.85,77.85,2339
2020-01-13 09:00:00,77.85,78.02,77.84,77.91,4558
2020-01-13 09:30:00,77.92,78.35,77.91,78.23,186428
2020-01-13 10:00:00,78.24,78.26,77.94,77.98,88957
2020-01-13 10:30:00,77.98,78.04,77.79,78.02,68152
2020-01-13 11:00:00,78.02,78.1,77.85,78.06,57854
2020-01-13 11:30:00,78.05,78.34,78.04,78.2,60771
2020-01-13 12:00:00,78.2,78.24,78.11,78.15,41437
2020-01-13 12:30:00,78.15,78.33,78.14,78.28,51075
2020-01-13 13:00:00,78.28,78.44,78.22,78.4,47546
2020-01-13 13:30:00,78.4,78.45,78.35,78.41,32230
2020-01-13 14:00:00,78.39,78.69,78.33,78.66,64247
2020-01-13 14:30:00,78.66,78.75,78.59,78.73,56620
2020-01-13 15:00:00,78.73,78.82,78.66,78.79,54147
2020-01-13 15:30:00,78.79,79.27,78.78,79.24,141869
2020-01-13 16:00:00,79.24,79.33,79.24,79.31,75554
2020-01-13 16:30:00,79.3,79.37,79.24,79.32,1871
2020-01-13 17:00:00,79.31,79.33,79.24,79.31,744
2020-01-13 17:30:00,79.33,79.4,79.3,79.39,948
2020-01-13 18:00:00,79.38,79.45,79.38,79.44,504
2020-01-13 18:30:00,79.4,79.56,79.4,79.5,1010
2020-01-13 19:00:00,79.54,79.57,79.51,79.56,1271
2020-01-13 19:30:00,79.56,79.7,79.56,79.7,2259
2020-01-14 04:00:00,79.13,79.18,78.93,78.97,1127
2020-01-14 04:30:00,78.96,79.16,78.96,79.13,459
2020-01-14 05:00:00,79.09,79.17,79.09,79.09,147
2020-01-14 05:30:00,79.09,79.16,79.0,79.01,518
2020-01-14 06:00:00,79.1,79.1,78.91,78.98,380
2020-01-14 06:30:00,78.99,79.12,78.95,79.08,472
2020-01-14 07:00:00,79.12,79.43,79.05,79.4,3988
2020-01-14 07:30:00,79.41,79.44,79.26,79.31,2311
2020-01-14 08:00:00,79.26,79.44,79.12,79.15,8483
2020-01-14 08:30:00,79.17,79.28,79.11,79.21,4202
2020-01-14 09:00:00,79.2,79.28,79.05,79.16,7503
2020-01-14 09:30:00,79.17,79.31,78.34,78.44,228703
2020-01-14 10:00:00,78.45,79.21,78.37,79.15,136015
2020-01-14 10:30:00,79.16,79.39,78.69,78.94,125039
2020-01-14 11:00:00,78.94,79.05,78.75,78.84,61324
2020-01-14 11:30:00,78.84,79.15,78.65,79.14,65417
2020-01-14 12:00:00,79.13,79.17,78.79,78.8,57999
2020-01-14 12:30:00,78.81,78.87,78.65,78.68,53186
2020-01-14 13:00:00,78.68,78.9,78.68,78.88,43692
2020-01-14 13:30:00,78.88,78.97,78.19,78.35,132607
2020-01-14 14:00:00,78.35,78.75,78.04,78.55,113471
2020-01-14 14:30:00,78.54,78.7,78.33,78.38,60786
2020-01-14 15:00:00,78.38,78.46,78.21,78.24,45742
2020-01-14 15:30:00,78.23,78.55,78.06,78.17,123568
2020-01-14 16:00:00,78.17,78.95,78.11,78.24,94909
2020-01-14 16:30:00,78.23,78.25,78.17,78.24,815
2020-01-14 17:00:00,78.25,78.3,78.17,78.29,14595
2020-01-14 17:30:00,78.3,78.3,78.17,78.19,652
2020-01-14 18:00:00,78.19,78.19,78.03,78.03,1681
2020-01-14 18:30:00,78.05,78.05,77.75,77.75,2572
2020-01-14 19:00:00,77.75,78.0,77.7,77.99,1512
2020-01-14 19:30:00,77.98,77.98,77.83,77.94,690
2020-01-15 04:00:00,77.97,77.97,77.72,77.73,549
2020-01-15 04:30:00,77.83,78.0,77.83,77.89,66
2020-01-15 05:00:00,77.88,78.0,77.8,77.94,295
2020-01-15 05:30:00,77.97,77.97,77.91,77.97,154
2020-01-15 06:00:00,77.97,77.97,77.97,77.97,20
2020-01-15 06:30:00,77.92,77.99,77.92,77.99,106
2020-01-15 07:00:00,77.98,78.2,77.88,78.03,1580
2020-01-15 07:30:00,78.03,78.33,78.01,78.28,1336
2020-01-15 08:00:00,78.29,78.35,77.92,78.26,4396
2020-01-15 08:30:00,78.27,78.29,77.95,78.03,3613
2020-01-15 09:00:00,78.0,78.04,77.92,77.97,2536
2020-01-15 09:30:00,77.96,78.86,77.86,78.84,183429
2020-01-15 10:00:00,78.84,78.88,78.5,78.56,91243
2020-01-15 10:30:00,78.56,78.67,78.45,78.63,54489
2020-01-15 11:00:00,78.62,78.67,78.38,78.41,57347
2020-01-15 11:30:00,78.4,78.64,78.35,78.49,46370
2020-01-15 12:00:00,78.48,78.65,78.44,78.59,35363
2020-01-15 12:30:00,78.59,78.63,78.42,78.48,37358
2020-01-15 13:00:00,78.48,78.61,78.39,78.49,45662
